,prediction,probNeg,probPos,weightN,weightP,id,wos_id,doi,source,title,pubtype,doctype,pubyear,pubmonth,language,abstract,subject_con,is_comp,Economics and business,Educational sciences,Law,Media and communication,Other social sciences,Political science,Psychology,Social and economic geography,Sociology,prediction_partial,probNeg_partial,probPos_partial,weightN_partial,weightP_partial,pred,pred_part
WOS:000202949500004,1,0.4850764366733396,0.6927207109127358,0.029709044843912125,0.08942103385925293,49508145,WOS:000202949500004,,MONTHLY LABOR REVIEW,Model-based seasonally adjusted estimates and sampling error,Journal,Article,2005.0,9.0,English,"Estimating certain CPS series with a model that filters out sampling error may reduce volatility in the time series, facilitating more meaningful trend analysis.",Industrial Relations & Labor,not explicitly computational,True,False,False,False,False,False,False,False,False,0.0,0.8120080668906653,0.3872151663031591,0.7958328723907471,-0.6672783493995667,Computational,Not Computational
WOS:000202980000001,1,0.3070824830357561,0.8370851966616225,-0.3577350080013275,0.4560595750808716,49193342,WOS:000202980000001,,TRANSPORTATION JOURNAL,Information technology adoption in Hong Kong's logistics industry,Journal,Article,2005.0,9.0,English,"This article reports on the current state of information technology (IT) adoption in Hong Kong's logistics industry, identifies the benefits of and barriers to adopting IT, and provides recommendations for the adoption of IT in the industry. We achieved these objectives by carrying out a cross-sectional survey of 1,500 firms in the industry, followed by interviews with selected respondents to the survey. The study findings provide managerial insights for firms to understand the adoption of IT in the industry and to identify areas for improvement in adopting IT",Transportation,not explicitly computational,True,False,False,False,False,False,False,True,False,1.0,0.2502968721712694,0.8800465870367783,-0.4892657697200775,0.6077638268470764,Computational,Computational
WOS:000202980000003,1,0.4285788368684579,0.7406181753685454,-0.08574838936328888,0.2019034326076508,50201719,WOS:000202980000003,,TRANSPORTATION JOURNAL,A social anthropology of logistics research: Exploring productivity and collaboration in an emerging science,Journal,Article,2005.0,9.0,English,"For more than forty years, professionals and academics have undertaken scholarly research in the field of logistics, attempting to expand the knowledge base of the discipline, and thereby improve logistics practice. This study represents an initial investigation of logistics researchers who have participated in the development of the field. Using a comprehensive database of published logistics articles from four leading journals, social network theory is applied for analysis of logistics researcher productivity and collaboration. Results of the exploratory study indicate that high levels of researcher productivity are present in logistics; however, the results also show that the discipline would benefit significantly from more collaborative effort blending researcher backgrounds and perspectives across major research groups, which are currently somewhat isolated. Implications for future logistics research are discussed, advocating more collaborative research production within the field.",Transportation,not explicitly computational,True,False,False,False,False,False,False,True,False,0.0,0.8845060540330745,0.30690117077837115,1.0984385013580322,-0.9373727440834044,Computational,Not Computational
WOS:000202980200003,1,0.3254434134701537,0.825525000794595,-0.29719555377960205,0.4316714107990265,51751254,WOS:000202980200003,,TRANSPORTATION JOURNAL,Opportunities for research in third-party logistics,Journal,Article,2006.0,3.0,English,"Research in third.-party logistics (3PL) has expanded rapidly in the past fifteen years, providing a significant amount of empirical, survey-based 3PL research. The authors identify forty-five such papers and then examine topics, methodologies, and analytical approaches to assess opportunities for future research in the field. As is common during the emerging stages of a research stream, the authors find that much of the current 3PL literature has been exploratory in nature. The authors subsequently present several possible directions for enriching the field for both researchers and practitioners, including the integration of extant theory and the use of more advanced methodologies and statistical analyses.",Transportation,not explicitly computational,True,False,False,False,False,False,False,True,False,1.0,0.4446657293664305,0.7189248562174002,-0.09354504942893982,0.1287023425102234,Computational,Computational
WOS:000202980300004,1,0.401963511318845,0.7598987055996947,-0.15656016767024994,0.24073028564453125,50594957,WOS:000202980300004,,TRANSPORTATION JOURNAL,The real-time global supply chain game: New educational tool for developing supply chain management professionals,Journal,Article,2006.0,6.0,English,"Researchers at Delft University and the Robert H. Smith School of Business at the University of Maryland have developed the ""Global Supply Chain Game"" (GSCG). A specific instance of the game is called the ""Distributor Game,"" centered on globalization and the real-time supply chain. The GSCG differs from many existing business learning games in that, as opposed to being turn-based and locked in on demonstrating a single phenomenon (i.e., the bullwhip effect), it simulates a real-world experience by operating on a continuous clock with ongoing events and responses to individual decisions. The decision-making processes of the distributors in the game are controlled by human players. To confront the human players with a complex and dynamic environment, suppliers, markets, and competing distribution centers are represented by computer-controlled actors. The Distributor Game has been tested at the Robert H. Smith School of Business in seven courses since January 2005. The beta-tests include four MBA classes, two Executive MBA classes, and a single undergraduate class. Each class has been consistent in its approval of the game as a tool in simulating the complexities of a global supply chain and facilitating learning about how to successfully manage this environment.",Transportation,not explicitly computational,True,False,False,False,False,False,False,True,False,1.0,0.5196538624299681,0.6532744468331029,0.05752741172909736,-0.021128565073013302,Computational,Computational
WOS:000202980400003,1,0.5754333577254817,0.6040106529730197,0.173627108335495,-0.13042733073234558,50466412,WOS:000202980400003,,TRANSPORTATION JOURNAL,Reconfiguration of pharmaceutical logistics operations in China: An empirical study,Journal,Article,2006.0,9.0,English,"Logistics reconfiguration is an active practice in the Chinese pharmaceutical industry. However, the reconfiguration performances are not satisfactory. This article investigates logistics reconfiguration strategies and develops a logistics reconfiguration success framework by a three-stage multi-method research approach. Telephone interviews and qualitative case study research methodology are used to collect data. From case studies, nine key success factors are identified. These factors are further validated as being relevant by a group of senior managers from industry. Finally, managerial implications are drawn.",Transportation,not explicitly computational,True,False,False,False,False,False,False,True,False,0.0,0.6045727495606965,0.5794219827429579,0.2417229413986206,-0.1828322410583496,Computational,Not Computational
WOS:000202989400007,1,0.4630652644558176,0.7131430720549101,-0.007197342813014984,0.14081120491027832,50748121,WOS:000202989400007,,COGNITIVE AND BEHAVIORAL NEUROLOGY,Functions of the mirror neuron system: Implications for neurorehabilitation,Journal,Review,2006.0,3.0,English,"Mirror neurons discharge during the execution of hand object-directed actions and during the observation of the same actions performed by other individuals. These neurons were first identified in the ventral premotor cortex (area F5) and later on in the inferior parietal lobule of monkey brain, thus constituting the mirror neuron system. More recently, mirror neurons for mouth object-directed actions have also been found in the monkey. Several pieces of experimental data demonstrate that a mirror neuron system devoted to hand, mouth, and foot actions is also present in humans. In the present paper we review the experimental evidence on the role of the mirror neuron system in action understanding, imitation learning of novel complex actions, and internal rehearsal (motor imagery) of actions. On the basis of features of the mirror neuron system and its role in action understanding and imitation, we discuss the possible use of action observation and imitation as all approach for systematic training in the rehabilitation of patients with motor impairment of the upper limb after stroke.",Behavioral Sciences,not explicitly computational,True,False,False,False,False,False,False,False,False,1.0,0.16153373235869592,0.939149670845106,-0.7333440184593201,0.9135163426399232,Computational,Computational
WOS:000203496700005,1,0.4583168343284853,0.7153163344902168,-0.02596884593367577,0.14115169644355774,50469128,WOS:000203496700005,,REVISTA DE ECONOMIA MUNDIAL,Industrial R&D investment: A comparative analysis of the top EU and non-EU companies based on the EU 2004 R&D Scoreboard,Journal,Article,2006.0,1.0,English,"This paper presents the main results from the 2004 EU Industrial R&D Investment Scoreboard, which lists the top 500 EU companies and the top 500 non-EU companies ranked by their R&D investment. After a short description of the definitions and objectives of the exercise, its content and main findings are shown together with results from other analyses performed within The European Common Directorate General, Joint Research (JRC) Seville, showing the impact of the degree of concentration at the company's level on the overall industrial R&D stance. There seems to be a correlation between R&D intensity growth and net sales growth. Despite a competitive total amount of R&D investment, the average overall R&D intensity of the sampled European Union companies is much smaller than for their non-EU counterparts. This is related to a smaller proportion of output from sectors with high intrinsic R&D intensity, which is particularly noticeable in IT Hardware and Software and Computer Set-vices. Although R&D investment amounts are comparable for the biggest firms, the share of R&D performers at the middle and the bottom of the EU-500 Scoreboard is much smaller in the EU than in the non-EU. The analysis indicates that national, regional and sectoral patterns deviate considerably from the overall picture of the EU. An entire section of the paper is dedicated to an inter-sector comparison of R&D-related indicators. The issue of concentration of R&D investment among top companies investing in research is investigated in more detail, in large companies, by sector of activity and by location. It is also proved that the sample of top R&D investing companies is statistically characterised by heteroscedasticity.",Economics,not explicitly computational,True,False,False,False,False,False,False,False,False,0.0,0.7035457045393757,0.4907775712002862,0.4757234454154968,-0.3885163366794586,Computational,Not Computational
WOS:000206874200005,1,0.27935750036231205,0.8562958840879605,-0.4380542635917664,0.5095965862274171,49053398,WOS:000206874200005,,EKONOMISKA SAMFUNDETS TIDSKRIFT,The portfolio balance model as a tool for predicting currency crises,Journal,Article,2005.0,1.0,Swedish,"With the deregulation of international capital flows, currency crises - massive outflows of capital resulting in the forced devaluation or floating of a pegged currency - have become a major threat to macroeconomic stability. In this paper, we present an application of the Portfolio Balance Model as a tool for predicting currency crises. Using fuzzy cluster programming, the model is then tested on the Finnish currency crisis of 1992.",Economics,not explicitly computational,True,False,False,False,False,False,False,False,False,1.0,0.4791039748180762,0.6931463013633056,-0.004600444808602333,0.07903236895799637,Computational,Computational
WOS:000206974100002,1,0.4115093563111036,0.7484872544129137,-0.1550922840833664,0.2026369869709015,52221554,WOS:000206974100002,,EUROPEAN JOURNAL OF INDUSTRIAL ENGINEERING,"Fixed trading costs, signal processing and stochastic portfolio networks",Journal,Article,2007.0,1.0,English,"In this study, we use zero-one variables to control fixed transaction costs independent of trade size in the portfolio selection problem. The optimal solution to the maximum flow, risk constrained stochastic portfolio network is found using Digital Portfolio Theory (DPT). Digital signals describe return processes and power spectral densities describe variances of long and short horizon returns. We find high fixed trading costs reduce size and affect composition of optimal portfolios for small investors or long holding periods. High risk portfolios are more sensitive to trading costs. Optimal portfolios for active traders or large portfolios are largely unaffected by fixed commission costs.",Operations Research & Management Science,not explicitly computational,True,False,False,False,False,False,False,False,False,0.0,0.7639413665732857,0.4286040321684633,0.6175976395606995,-0.5568131804466248,Computational,Not Computational
