,prediction,probNeg,probPos,weightN,weightP,id,wos_id,doi,source,title,pubtype,doctype,pubyear,pubmonth,language,abstract,subject_con,is_comp,Economics and business,Educational sciences,Law,Media and communication,Other social sciences,Political science,Psychology,Social and economic geography,Sociology,prediction_partial,probNeg_partial,probPos_partial,weightN_partial,weightP_partial,pred,pred_part
WOS:000205922800004,1,0.4977643368746131,0.6783240965389549,0.039509419351816184,0.04845213145017624,53513398,WOS:000205922800004,,INDIAN JOURNAL OF SOCIAL WORK,Improving Irrigation Efficiency in Kerala through Participatory Irrigation Management An Analysis,Journal,Article,2007.0,7.0,English,"The study was carried out in three irrigation projects in Kerala - Neyyar, Chalakhudy and Malampuzha. More than 650 farmers, 300 officials, members of State Legislative Assembly, leaders of political parties, and so on, were consulted under the study. The study has identified the following pre-requisites for implementation of Participatory Irrigation Management (PIM) in Kerala: (i) favourable orientation of politicians and administrators; (ii) changes in the organisational set-up; (iii) legislative backing; (iv) clear water rights; (v) rehabilitation of the irrigation system; (vi) meaningful transfer agreement; (vii) coordination between the stakeholders; (viii) consultation and involvement of farmers; (ix) motivation and incentive system; (x) training and awareness programmes; (xi) involvement of women; and (xii) mechanism to settle disputes. Based on the study, a strategy was designed for the implementation of PIM, and accordingly, two pilot projects are being implemented at the Neyyar and Malampuzha irrigation commands.",Social Work,not explicitly computational,False,False,False,False,False,False,False,False,True,1,0.05625310799094015,0.9858285873222076,-1.4556349515914917,1.3643617630004885,Computational,Computational
WOS:000207602600002,1,0.3769099416540389,0.7774832200780193,-0.22737424075603485,0.27531054615974426,55621431,WOS:000207602600002,,HUMAN BIOLOGY,"Genetic Affinity Between Diverse Ethnoreligious Communities of Tamil Nadu, India: A Microsatellite Study",Journal,Article,2008.0,12.0,English,"Historically, a number of local Hindu caste groups have converted to Islam and formed religious endogamous groups. Therefore the local caste groups and religious communities in a region are expected to show genetic relatedness. In this study we investigate the genetic relationship between Tamil-speaking (Dravidian language) Muslims (Sunni), six endogamous Hindu castes, and a tribal ethnic group (Irulars) using 13 CODIS (Combined DNA Index System) autosomal microsatellite markers. Muslims show the highest average heterozygosity (0.405) compared to the other groups. The neighbor-joining tree and the multidimensional-sealing plot show clustering of Tamil-speaking Muslims with three caste groups (Gounder, Paraiyar, and Vanniyar), whereas the Irular tribe is separated out of the cluster.",Anthropology,not explicitly computational,False,False,False,False,False,False,False,False,True,0,0.999922950388213,0.007450976911578995,4.5789756774902335,-4.892008304595947,Computational,Not Computational
WOS:000207721400001,1,0.4570946949740219,0.7165435945232913,-0.02752828225493431,0.14451605081558228,54682064,WOS:000207721400001,10.1080/03461230701287517,SCANDINAVIAN ACTUARIAL JOURNAL,Second-order Bayesian revision of a generalized linear model,Journal,Article,2008.0,1.0,English,"It is well known that the exponential dispersion family (EDF) of univariate distributions is closed under Bayesian revision in the presence of natural conjugate priors. However, this is not the case for the general multivariate EDF. This paper derives a second-order approximation to the posterior likelihood of a naturally conjugated generalized linear model (GLM), i.e., multivariate EDF subject to a link function (Section 5.5). It is not the same as a normal approximation. It does, however, lead to second-order Bayes estimators of parameters of the posterior. The family of second-order approximations is found to be closed under Bayesian revision. This generates a recursion for repeated Bayesian revision of the GLM with the acquisition of additional data. The recursion simplifies greatly for a canonical link. The resulting structure is easily extended to a filter for estimation of the parameters of a dynamic generalized linear model (DGLM) (Section 6.2). The Kalman filter emerges as a special case. A second type of link function, related to the canonical link, and with similar properties, is identified. This is called here the companion canonical link. For a given GLM with canonical link, the companion to that link generates a companion GLM (Section 4). The recursive form of the Bayesian revision of this GLM is also obtained (Section 5.5.3). There is a perfect parallel between the development of the GLM recursion and its companion. A dictionary for translation between the two is given so that one is readily derived from the other (Table 5.1). The companion canonical link also generates a companion DGLM. A filter for this is obtained (Section 6.3). Section 1.2 provides an indication of how the theory developed here might be applied to loss reserving. A sequel paper, providing numerical illustrations of this, is planned.","Social Sciences, Mathematical Methods",not explicitly computational,False,False,False,False,False,False,False,False,True,0,0.8282597475275979,0.3379063755790957,0.7122770547866821,-0.8610665798187256,Computational,Not Computational
WOS:000207721400002,1,0.2257291832739141,0.8989956397841226,-0.5348905324935913,0.6976951956748962,54387782,WOS:000207721400002,10.1080/03461230701862889,SCANDINAVIAN ACTUARIAL JOURNAL,Modelling long-term investment returns via Bayesian infinite mixture time series models,Journal,Article,2008.0,1.0,English,"This paper introduces the class of Bayesian infinite mixture time series models first proposed in Lau & So (2004) for modelling long-term investment returns. It is a flexible class of time series models and provides a flexible way to incorporate full information contained in all autoregressive components with various orders by utilizing the idea of Bayesian averaging or mixing. We adopt a Bayesian sampling scheme based on a weighted Chinese restaurant process for generating partitions of investment returns to estimate the Bayesian infinite mixture time series models. Instead of using the point estimates, as in the classical or non-Bayesian approach, the estimation in this paper is performed by the full Bayesian approach, utilizing the idea of Bayesian averaging to incorporate all information contained in the posterior distributions of the random parameters. This provides a natural way to incorporate model risk or uncertainty. The proposed models can also be used to perform clustering of investment returns and detect outliers of returns. We employ the monthly data from the Toronto Stock Exchange 300 (TSE 300) indices to illustrate the implementation of our models and compare the simulated results from the estimated models with the empirical characteristics of the TSE 300 data. We apply the Bayesian predictive distribution of the logarithmic returns obtained by the Bayesian averaging or mixing to evaluate the quantile-based and conditional tail expectation risk measures for segregated fund contracts via stochastic simulation. We compare the risk measures evaluated from our models with those from some well-known and important models in the literature, and highlight some features that can be obtained from our models.","Social Sciences, Mathematical Methods",not explicitly computational,False,False,False,False,False,False,False,False,True,0,0.9934376069086932,0.06735689474543764,2.385214567184448,-2.634601354598999,Computational,Not Computational
WOS:000207721400004,1,0.3976079939868972,0.7681460389330391,-0.13985835015773773,0.2755834758281708,54142533,WOS:000207721400004,10.1080/03461230701878612,SCANDINAVIAN ACTUARIAL JOURNAL,Combining generalized linear models and credibility models in practice,Journal,Article,2008.0,1.0,English,"Rating of non-life insurance contracts commonly employs multiplicative models, which are estimated by generalized linear models (GLMs); another useful tool for rate making are credibility models. The object of this paper is to demonstrate how these can be combined in practice, to solve the problem with multi-level factors - rating factors with too many levels for GLM estimation. In particular, we consider car model classification in motor insurance, using data from a Swedish insurance company.","Social Sciences, Mathematical Methods",not explicitly computational,False,False,False,False,False,False,False,False,True,0,0.9630718220872247,0.15544953363394576,1.5310424566268919,-1.7301106452941897,Computational,Not Computational
WOS:000207780200004,1,0.512383999230981,0.668254190412906,0.08116477727890015,0.031618647277355194,55743693,WOS:000207780200004,,ECONOMIC AND SOCIAL REVIEW,Opening and Closing Asymmetry: Empirical Analysis from ISE Xetra,Journal,Article,2008.0,3.0,English,"Overnight news yields difficulties for price discovery at market opening culminating in additional return volatility. Biais et al. (2007) show opening prices are sensitive to order flow from the pre-trading session. We investigate the existence of volatility asymmetry between opening and closing returns and trader over-reaction on the Irish Stock Exchange (ISE). Opening on the ISE follows a non-transparent pre-trading session. We estimate opening returns are 10 per cent more volatile than closing returns. This is significantly smaller compared to other exchanges, such as LSE. The LSE operates under a transparent pre-trading session, which is susceptible to order flow manipulation. We implement an ARMA(1,1) framework to investigate the speed of trader reaction to news. Over-reaction is recorded at the morning auction but is smaller in magnitude when compared to international markets with transparent pre-trading and 'non-binding' orders. The level of price reversal bolsters the over-reaction argument. We estimate a 30 per cent reversal of overnight returns with one third taking place in the first thirty minutes of trading.","Sociology,Economics",not explicitly computational,True,False,False,False,False,False,False,False,True,0,0.7928894161193135,0.3814853956260386,0.6271111369132996,-0.7153197526931763,Computational,Not Computational
WOS:000207793100006,1,0.2968163034943381,0.8533384403673185,-0.31611794233322144,0.5463867783546448,57484378,WOS:000207793100006,10.1037/a0016705,AMERICAN JOURNAL OF ORTHOPSYCHIATRY,Strengthening Prevention Performance Using Technology: A Formative Evaluation of Interactive Getting To Outcomes (R),Journal,Article,2009.0,10.0,English,"Communities face challenges implementing evidence-based prevention programs. To help, policymakers are exploring how to build community-level capacity for prevention for thousands of organizations or communities across the United States. This article reports on a formative evaluation within 2 states' prevention systems of an Internet system designed to build capacity on a large scale, interactive Getting To Outcomes (R) (iGTO). In Tennessee, 30 coalitions were randomly assigned to receive either the iGTO system or nothing. In Missouri, 18 coalitions receiving iGTO were compared with 8 like coalitions who did not receive iGTO. The primary outcome was iGTO's impact on the performance of the coalitions' programs, assessed through interviews at baseline and after a year of iGTO implementation. Analyses suggest that iGTO-programs improved their performance of prevention practices over non-iGTO programs. Semi-structured interviews of iGTO users and state-level stakeholders showed that iGTO was adopted by most iGTO-assigned coalitions, albeit in mostly an elementary fashion. Perceptions of the iGTO system were mixed. The findings suggest that more comprehensive integration requires that state leadership also use iGTO and provide more support for its use at the local level.",Social Work,not explicitly computational,False,False,False,False,False,False,False,False,True,1,0.03702766197899148,0.9926890587172827,-1.6434040069580078,1.6149554252624512,Computational,Computational
WOS:000207856200012,1,0.45294450287572496,0.7172590708417077,-0.04986025020480156,0.138920396566391,56740861,WOS:000207856200012,,SOCIAL POLICY JOURNAL OF NEW ZEALAND,THE IMPACT OF THE PERFORMANCE-BASED RESEARCH FUND ON THE RESEARCH PRODUCTIVITY OF NEW ZEALAND UNIVERSITIES,Journal,Article,2009.0,4.0,English,The introduction of the Performance-Based Research Fund (PBRF) has resulted in much greater scrutiny of the research activities of New Zealand universities. This study examines the impact of this greater scrutiny on the research productivity of the universities. The analysis shows that most universities exhibit a significant increase in productivity in. the period following the introduction of the PBRF. This finding is corroborated through the use of a production function approach to model the research process in New Zealand universities. This showed that the number of research publications listed in the Web of Science(1) by university researchers is significantly higher following the introduction of the PBRF. Analysis of total research output data shows that this increase in Web of Science research publications has not been at the expense of other forms of research output.,"Planning & Development,Social Work,Public Administration",not explicitly computational,False,False,False,False,False,True,False,True,True,0,0.8504701669876311,0.32163188186941216,0.8300450444221497,-0.9082483649253844,Computational,Not Computational
WOS:000207865100004,1,0.23383833512151075,0.8953234129237327,-0.4935789406299591,0.6931842565536499,56469273,WOS:000207865100004,,NONLINEAR DYNAMICS PSYCHOLOGY AND LIFE SCIENCES,Soft-Assembly of Sensorimotor Function,Journal,Article,2009.0,1.0,English,"Von Holst (1939/73) proposed relative coordination as a general characteristic of sensorimotor functions like locomotion. Its functionality derives from striking a balance between independence versus interdependence among component activities, e.g., fin or leg oscillations in lipfish and centipede models, respectively. A similar balancing act in the Ising (1925) model was found to produce patterns of electron spin alignment, analogous to the soft-assembly of locomotive patterns. The Ising model analog to relative coordination is metastability, and Kelso (1995) hypothesized that metastability is essential to sensorimotor functions across levels and domains of analysis, from individual neurons to neural systems to anatomical components of all kinds. In the present survey, relative coordination and metastability are hypothesized to underlie the soft-assembly of sensorimotor function, and this hypothesis is shown to predict 1/f scaling as a pervasive property of intrinsic fluctuations. Evidence is reviewed in support of this prediction from studies of human neural activity, as well as response time tasks and speech production tasks.","Social Sciences, Mathematical Methods,Psychology,Psychology, Mathematical",not explicitly computational,False,False,False,False,False,False,True,False,True,1,0.41140322773656507,0.7384520536949555,-0.20841042697429654,0.14975710213184354,Computational,Computational
WOS:000207865100006,1,0.27174549771306034,0.8687342663315242,-0.3988604247570038,0.5869241952896118,57015207,WOS:000207865100006,,NONLINEAR DYNAMICS PSYCHOLOGY AND LIFE SCIENCES,Attractor and Lyapunov Models for Reach and Grasp Movements with Application to Robot-assisted Therapy,Journal,Article,2009.0,1.0,English,"The principles of attractors and Lyapunov exponents were used to develop a reaching-to-grasp model for use in a robotic therapy system for stroke patients. Previously known models for these movements, the fifth order minimum jerk and the seventh order polynomial, do not account for the change in grasp aperture of the hand. The Lyapunov model was tested with reaching-to-grasp movements performed by five neurologically intact subjects and produced an average R(2) =.97 over 15 replications for 41 different task events, reflecting a notable advantage over the fifth order (average R(2) =.58) and seventh order (average R(2) =.67) models. A similar level of success was obtained for the Lyapunov model that was specific to grasp aperture. The results indicated that intentional movements can be accurately characterized as attractor trajectories, and as functions of position along two Cartesian coordinates rather than as functions of time. The Lyapunov exponent model requires fewer parameters and provides an efficient platform for real-time implementation.","Social Sciences, Mathematical Methods,Psychology,Psychology, Mathematical",not explicitly computational,False,False,False,False,False,False,True,False,True,1,0.12133707270256885,0.9543140457797726,-1.0498099327087402,0.9300190210342408,Computational,Computational
